#hilos_archivos #hilos_max #cant_archivos maximum maximum2
40 12 200 1.08093 1.34319 
40 12 400 1.52005 2.66966 
40 12 600 2.28935 4.01069 
40 12 800 3.09309 5.33796 
40 12 1000 3.82192 6.65429 
40 12 1200 4.57516 8.0112 
40 12 1400 5.36037 9.34898 
40 12 1600 6.12694 10.6727 
40 12 1800 6.89544 11.9568 
40 12 2000 7.67097 13.3498 
40 12 2200 8.43811 14.6074 
40 12 2400 9.17073 16.0176 
40 12 2600 9.96001 17.3102 
40 12 2800 10.7393 18.6461 
40 12 3000 11.4518 19.9793 
40 12 3200 12.253 21.3383 
40 12 3400 13.1008 22.7167 
40 12 3600 13.8074 23.9386 
40 12 3800 14.5722 25.2713 
40 12 4000 15.374 26.6412 
40 12 4200 16.1196 28.0238 
40 12 4400 16.7709 29.3351 
40 12 4600 17.6826 30.9677 
40 12 4800 18.3362 32.425 
40 12 5000 19.1687 33.6699
