#hilos_archivos #hilos_max #cant_archivos maximum maximum2
200 24 200 0.767057 1.42062 
200 24 400 1.55054 3.0205 
200 24 600 2.4314 4.41925 
200 24 800 3.13582 6.33435 
200 24 1000 3.86142 7.03412 
200 24 1200 4.63606 8.88046 
200 24 1400 5.46355 10.1961 
200 24 1600 6.1968 11.8057 
200 24 1800 6.9588 13.4909 
200 24 2000 7.76768 14.958 
200 24 2200 8.5736 16.6174 
200 24 2400 9.3327 18.2352 
200 24 2600 10.0408 19.3016 
200 24 2800 10.8415 20.8853 
200 24 3000 11.6655 22.5845 
200 24 3200 12.4294 24.2908 
200 24 3400 13.3 25.7163 
200 24 3600 13.9084 27.2445 
200 24 3800 14.7306 28.7192 
200 24 4000 15.4075 27.4841 
200 24 4200 16.2093 29.6581 
200 24 4400 17.1176 31.9731 
200 24 4600 17.9282 35.5387 
200 24 4800 18.5891 36.8805 
200 24 5000 19.3146 37.9066
